combination	conc1	conc2
Cyclophosphamide_IMR05	0.1	0.1
Cyclophosphamide_IMR05	0.1	1
Cyclophosphamide_IMR05	1	0.1
Cyclophosphamide_IMR05	1	1
Cyclophosphamide_KELLY	0.1	0.1
Cyclophosphamide_KELLY	0.1	1
Cyclophosphamide_KELLY	1	0.1
Cyclophosphamide_KELLY	1	1
Cyclophosphamide_LAN5	0.1	0.001
Cyclophosphamide_LAN5	0.1	0.01
Cyclophosphamide_LAN5	1	0.001
Cyclophosphamide_LAN5	1	0.01
Cyclophosphamide_SHEP	10	1
Cyclophosphamide_SHEP	10	10
Cyclophosphamide_SHEP	50	1
Cyclophosphamide_SHEP	50	10
Cyclophosphamide_SKNAS	0.1	1
Cyclophosphamide_SKNAS	0.1	10
Cyclophosphamide_SKNAS	1	1
Cyclophosphamide_SKNAS	1	10
Cyclophosphamide_SKNSH	0.1	0.1
Cyclophosphamide_SKNSH	0.1	1
Cyclophosphamide_SKNSH	1	0.1
Cyclophosphamide_SKNSH	1	1
Etoposide_IMR05	0.01	0.1
Etoposide_IMR05	0.01	1
Etoposide_IMR05	0.1	0.1
Etoposide_IMR05	0.1	1
Etoposide_KELLY	0.01	1
Etoposide_KELLY	0.01	10
Etoposide_KELLY	0.1	1
Etoposide_KELLY	0.1	10
Etoposide_LAN5	0.01	0.1
Etoposide_LAN5	0.01	1
Etoposide_LAN5	0.1	0.1
Etoposide_LAN5	0.1	1
Etoposide_SHEP	1	1
Etoposide_SHEP	1	10
Etoposide_SHEP	10	1
Etoposide_SHEP	10	10
Etoposide_SKNAS	1	1
Etoposide_SKNAS	1	10
Etoposide_SKNAS	10	1
Etoposide_SKNAS	10	10
Etoposide_SKNSH	1	0.1
Etoposide_SKNSH	1	1
Etoposide_SKNSH	10	0.1
Etoposide_SKNSH	10	1
Irinotecan_IMR05	0.25	100
Irinotecan_IMR05	0.25	1000
Irinotecan_IMR05	0.5	100
Irinotecan_IMR05	0.5	1000
Irinotecan_KELLY	1	1000
Irinotecan_KELLY	1	10000
Irinotecan_KELLY	10	1000
Irinotecan_KELLY	10	10000
Irinotecan_LAN5	0.5	10
Irinotecan_LAN5	0.5	100
Irinotecan_LAN5	1	10
Irinotecan_LAN5	1	100
Irinotecan_SHEP	10	100
Irinotecan_SHEP	10	1000
Irinotecan_SHEP	100	100
Irinotecan_SHEP	100	1000
Irinotecan_SKNAS	1	1000
Irinotecan_SKNAS	1	10000
Irinotecan_SKNAS	10	1000
Irinotecan_SKNAS	10	10000
Irinotecan_SKNSH	10	100
Irinotecan_SKNSH	10	1000
Irinotecan_SKNSH	100	100
Irinotecan_SKNSH	100	1000
Temozolomide_IMR05	50	1
Temozolomide_IMR05	50	10
Temozolomide_IMR05	100	1
Temozolomide_IMR05	100	10
Temozolomide_KELLY	50	50
Temozolomide_KELLY	50	100
Temozolomide_KELLY	100	50
Temozolomide_KELLY	100	100
Temozolomide_LAN5	10	0.5
Temozolomide_LAN5	10	1
Temozolomide_LAN5	50	0.5
Temozolomide_LAN5	50	1
Temozolomide_SHEP	50	1
Temozolomide_SHEP	50	10
Temozolomide_SHEP	100	1
Temozolomide_SHEP	100	10
Temozolomide_SKNAS	100	10
Temozolomide_SKNAS	100	50
Temozolomide_SKNAS	500	10
Temozolomide_SKNAS	500	50
Temozolomide_SKNSH	1	1
Temozolomide_SKNSH	1	10
Temozolomide_SKNSH	10	1
Temozolomide_SKNSH	10	10
Topotecan_IMR05	2.5	100
Topotecan_IMR05	2.5	1000
Topotecan_IMR05	5	100
Topotecan_IMR05	5	1000
Topotecan_KELLY	1	1000
Topotecan_KELLY	1	10000
Topotecan_KELLY	10	1000
Topotecan_KELLY	10	10000
Topotecan_LAN5	5	10
Topotecan_LAN5	5	100
Topotecan_LAN5	7.5	10
Topotecan_LAN5	7.5	100
Topotecan_SHEP	10	1000
Topotecan_SHEP	10	10000
Topotecan_SHEP	100	1000
Topotecan_SHEP	100	10000
Topotecan_SKNAS	10	100
Topotecan_SKNAS	10	1000
Topotecan_SKNAS	100	100
Topotecan_SKNAS	100	1000
Topotecan_SKNSH	10	100
Topotecan_SKNSH	10	1000
Topotecan_SKNSH	100	100
Topotecan_SKNSH	100	1000
